Instituto Nacional para el Federalismo y el Desarrollo Municipal

Base de datos de Poblacion 2020

cve_inegi,id_estado,id_municipio,superficie,municipios,localidades,cabecera,longitud,latitud,altitud,pob_cabecera,pob_cabecera_h,pob_cabecera_m,total,hombres,mujeres,p3ymas,p3ymas_h,p3ymas_m,p5ymas,p5ymas_h,p5ymas_m,p0_2,p0_2_h,p0_2_m,p3_5,p3_5_h,p3_5_m,p6_14,p6_14_h,p6_14_m,p8_14,p8_14_h,p8_14_m,p15_17,p15_17_h,p15_17_m,p18_24,p18_24_h,p18_24_m,p25_29,p25_29_h,p25_29_m,p25_59,p25_59_h,p25_59_m,p60ymas,p60ymas_h,p60ymas_m,p12ymas,p12ymas_h,p12ymas_m,p15ymas,p15ymas_h,p15ymas_m,p18ymas,p18ymas_h,p18ymas_m,p30ymas,p30ymas_h,p30ymas_m,loc1_249,loc250_499,loc500_999,loc1K_2499,loc2K5_4999,loc5K_9999,loc10K_14999,loc15K_29999,loc30K_49999,loc50K_99999,loc100K_249999,loc250K_499999,loc500K_999999,locmayor1M,tipo_municipio,p3ymas_li,p3ymas_li_h,p3ymas_li_m,p3ymas_li_esp,p3ymas_li_esp_h,p3ymas_li_esp_m,p3ymas_li_noesp,p3ymas_li_noesp_h,p3ymas_li_noesp_m,p3ymas_li_esp_noespecif,p3ymas_li_esp_noespecif_h,p3ymas_li_esp_noespecif_m,p3ymas_no_li,p3ymas_no_li_h,p3ymas_no_li_m,p3ymas_li_noespecif,p3ymas_li_noespecif_h,p3ymas_li_noespecif_m,id_lengua1,id_lengua2,hab_lengua1,hab_lengua2,p_catolica,p_nocatolica,p_otrareligion,p_sinreligion
"03003","3","3","0.00","0","0","","","","0","0","0","0","292241","145803","146438","280455","139839","140616","272072","135660","136412","10882","5514","5368","12776","6403","6373","0","0","0","31848","16115","15733","14005","7259","6746","33298","17031","16267","23059","11594","11465","0","0","0","37267","17754","19513","240687","119767","120920","227140","112892","114248","213135","105633","107502","0","0","0","8500","4154","2272","6469","7299","13406","0","0","0","0","0","250141","0","0","","3137","1800","1337","3053","1758","1295","51","16","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"03008","3","8","0.00","0","0","","","","0","0","0","0","351111","180944","170167","330379","170480","159899","317532","163951","153581","17967","9085","8882","19158","9754","9404","0","0","0","43943","22406","21537","17269","8919","8350","43075","22179","20896","34085","17419","16666","0","0","0","19895","9923","9972","272917","141193","131724","254833","132026","122807","237564","123107","114457","0","0","0","4041","1564","2855","3672","0","0","0","0","0","0","338979","0","0","0","","6327","3476","2851","6198","3414","2784","38","12","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"03009","3","9","0.00","0","0","","","","0","0","0","0","18052","9257","8795","17227","8844","8383","16677","8566","8111","803","402","401","858","441","417","0","0","0","2242","1156","1086","930","476","454","1793","895","898","1303","674","629","0","0","0","2056","1101","955","14443","7410","7033","13498","6929","6569","12568","6453","6115","0","0","0","1741","0","0","0","0","0","0","16311","0","0","0","0","0","0","","203","128","75","199","125","74","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"04001","4","1","0.00","0","0","","","","0","0","0","0","59232","29170","30062","56241","27684","28557","54114","26646","27468","2899","1440","1459","3202","1594","1608","0","0","0","7157","3588","3569","2886","1477","1409","6921","3463","3458","4772","2374","2398","0","0","0","7445","3604","3841","46750","22967","23783","43717","21437","22280","40831","19960","20871","0","0","0","331","1364","1527","10439","3128","13286","13208","15949","0","0","0","0","0","0","","26762","13335","13427","25525","12866","12659","1035","365","670","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"04002","4","2","0.00","0","0","","","","0","0","0","0","294077","141555","152522","281263","135057","146206","271903","130437","141466","12287","6236","6051","14049","7016","7033","0","0","0","31579","16263","15316","13520","6792","6728","33919","16736","17183","22808","11007","11801","0","0","0","37321","16946","20375","239859","113903","125956","226479","107087","119392","212959","100295","112664","0","0","0","2402","3330","4332","16455","2669","15266","0","0","0","0","249623","0","0","0","","13085","6486","6599","12928","6405","6523","104","45","59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"04003","4","3","0.00","0","0","","","","0","0","0","0","248845","123043","125802","233569","115378","118191","225092","111125","113967","11826","5934","5892","12618","6341","6277","0","0","0","28408","14565","13843","11635","5963","5672","27463","13602","13861","20068","9648","10420","0","0","0","23814","11704","12110","196474","96573","99901","184437","90357","94080","172802","84394","88408","0","0","0","6452","5226","7461","10520","7318","20630","0","0","0","0","191238","0","0","0","","3491","1798","1693","3409","1762","1647","48","16","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"04004","4","4","0.00","0","0","","","","0","0","0","0","78170","39030","39140","73965","36882","37083","70951","35326","35625","4157","2124","2033","4557","2348","2209","0","0","0","10537","5361","5176","4267","2146","2121","9044","4539","4505","6099","2910","3189","0","0","0","8353","4388","3965","60026","29751","30275","55767","27569","28198","51500","25423","26077","0","0","0","5183","5091","9553","9497","13047","0","0","0","35799","0","0","0","0","0","","6658","3428","3230","6529","3381","3148","115","38","77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"04005","4","5","0.00","0","0","","","","0","0","0","0","31917","15713","16204","30324","14936","15388","29208","14375","14833","1593","777","816","1689","823","866","0","0","0","4088","2080","2008","1630","832","798","3602","1822","1780","2509","1154","1355","0","0","0","3659","1842","1817","25104","12355","12749","23366","11430","11936","21736","10598","11138","0","0","0","364","1482","600","8445","0","9607","11419","0","0","0","0","0","0","0","","10965","5563","5402","10628","5438","5190","253","86","167","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"04006","4","6","0.00","0","0","","","","0","0","0","0","42140","21328","20812","39475","19970","19505","37661","19056","18605","2605","1328","1277","2690","1366","1324","0","0","0","6080","3078","3002","2425","1241","1184","5146","2609","2537","3208","1591","1617","0","0","0","4331","2301","2030","31631","15994","15637","29013","14660","14353","26588","13419","13169","0","0","0","7703","3591","4368","10626","7804","8048","0","0","0","0","0","0","0","0","","14529","7633","6896","14065","7455","6610","332","104","228","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"04007","4","7","0.00","0","0","","","","0","0","0","0","8683","4423","4260","8250","4218","4032","7903","4032","3871","433","205","228","502","260","242","0","0","0","1205","615","590","450","241","209","804","426","378","601","291","310","0","0","0","1164","630","534","6759","3452","3307","6241","3189","3052","5791","2948","2843","0","0","0","3474","590","1134","0","3485","0","0","0","0","0","0","0","0","0","","65","42","23","63","40","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
